Datetime,DailyMinimumDryBulbTemperature
2014-05-06,32.0
2014-05-07,32.0
2014-05-08,35.0
2014-05-09,37.0
2014-05-10,25.0
2014-05-11,24.0
2014-05-12,28.0
2014-05-13,30.0
2014-05-14,34.0
2014-05-15,36.0
2014-05-16,39.0
2014-05-17,35.0
2014-05-18,40.0
2014-05-19,38.0
2014-05-20,40.0
2014-05-21,42.0
2014-05-22,38.0
2014-05-23,39.0
2014-05-24,40.0
2014-05-25,39.0
2014-05-26,40.0
2014-05-27,37.0
2014-05-28,37.0
2014-05-29,29.0
2014-05-30,39.0
2014-05-31,35.0
2014-06-01,35.0
2014-06-02,39.0
2014-06-03,41.0
2014-06-04,37.0
2014-06-05,38.0
2014-06-06,43.0
2014-06-07,45.0
2014-06-08,50.0
2014-06-09,44.0
2014-06-10,46.0
2014-06-11,43.0
